sentence,label
"sentence 1: McLaughlin's take is accurate in a general, nonspecific way, says Tucker Carlson.
sentence 2: McLaughlin's opinion is right.",entailment
"sentence 1: are untrue and libelous of Dr. Rips.
sentence 2: They are false about Dr. Rips.",entailment
"sentence 1: Recommitment to the provision of services to Native Americans and migrant workers.
sentence 2: Recommitment to the provision of free legal services to migrant workers.",neutral
"sentence 1: With what you knew, and what you didn't know.
sentence 2: You don't know what you know and you know what you don't know.",neutral
"sentence 1: that's right that's exactly right so but a lot of more women are starting their own businesses i've noticed than
sentence 2: I've noticed that less and less women are opening businesses these days. ",contradiction
"sentence 1: in composition themes and i keys and things are something to me that remain a mystery no matter how many times i bang on them i have a pretty good mathematical concept for what's involved
sentence 2: I perfectly understand composition themes and keys. ",contradiction
"sentence 1: People who have forgotten where they came from.
sentence 2: People forget where they came from.",entailment
"sentence 1: Thank you, we can't afford it, father said matter-of-factly.
sentence 2: They could afford anything, so they bought it without any problems.",contradiction
"sentence 1: It now houses the castle cafe with a good selection of snacks and hot meals but was originally used to store the provisions carts.
sentence 2: It has the cafe in it.",entailment
"sentence 1: this is pretty unseasonal unseasonal but um at least we you know it it it feels good it gets uh everybody doesn't have cabin fever today it's nice to get out and about
sentence 2: No one has cabin fever today because it's nice out.",entailment
"sentence 1: There's a lot of interesting economics in that question, and if I manage to sort it out, I'll let you know.
sentence 2: That question is baffling but I do hope I can answer it in the future.",entailment
"sentence 1: The Commission received numerous formal and informal comments on the proposed rule during the comment period which was extended twice.
sentence 2: The Commission responded to each comment individually.",neutral
"sentence 1: Shrink Rap
sentence 2: Radio Psychiatrist",entailment
"sentence 1: Implementation of the Coalition's Statewide Technology Plan with funding from the Bush Foundation has represented a major step toward achieving that goal.
sentence 2: In addition to funding the plan, the Bush Foundation assisted with developing it.",neutral
"sentence 1: I haven't read the question yet, but my answer is Talk magazine.
sentence 2: My answer is Talk Magazine though I haven't had a chance to read the question yet.",neutral
"sentence 1: Countries can compare experiences, seek answers to common problems, and work to coordinate domestic and international policies.
sentence 2: Countries can work together on domestic and international policies.  ",entailment
"sentence 1: i saw that one that one wasn't that great either well i didn't think so no
sentence 2: It's not that good.. ",neutral
"sentence 1: Love it or hate it, Benidorm is thoroughly Restaurants here serve bacon and eggs, sauerkraut, smorgasbord, and tea like mother makes it. 
sentence 2: Restaurants serve bacon and eggs and they are a crowd favorite.",neutral
"sentence 1: i don't know the city
sentence 2: I plan on visiting the city next year.",neutral
"sentence 1: Poor Beatty has a need to think Clintonite Democrats aren't tackling race and poverty, much like Marx had a need for a proletariat, except that Marx's need was theoretical, while Beatty's is only theatrical.
sentence 2: The need for a proletariat in Marx, was theoretical.",entailment
"sentence 1: i don't quite understand that do they even understand what's being said
sentence 2: I'm sure everyone know what's going on. ",contradiction
"sentence 1: The Jerusalem Post pointed to a novelty-seeking and risk-taking gene discovered in Israel (see International Papers for ). Michael Kelly asks Washington Post readers why we lard up the sorrow with this great and gross festival of national media blah-blah about Camelot and royalty and The Kennedy Curse.
sentence 2: Kelly is an inquisitive man with a stack of bread in his hand.",neutral
"sentence 1: The wealthiest residents lived with their slaves in grand mansions constructed in mudejar style, a Christian-Muslim architectural tradition dating from medieval Spain.
sentence 2: The wealthiest residents had slaves and they had them at their beck-and-call.",neutral
"sentence 1: The FFC study concludes that, in the end, effective review of designs maximizes the probability that a mission or operational requirement will be successfully supported by a facility that was conceived, designed, constructed, and placed into operation efficiently and effectively.
sentence 2: If a design is reviewed, it is more effective.",entailment
"sentence 1: and killed all them people what's uh Saddam did
sentence 2: Saddam murdered all those people.",entailment
"sentence 1: Despite twice campaigning actively against Bill Clinton, he has begged for a post in his administration.
sentence 2: He didn't even want a post in the Clinton administration.",contradiction
"sentence 1: Food irradiators do produce radioactive waste that must be stored under nuclear regulatory guidelines, but the current regulations governing hospitals and sterilization companies seem to work, and the amount of radwaste generated is far too small to cause Three Mile Island-like effects.
sentence 2: Radioactive waste is highly dangerous.",neutral
"sentence 1: what do you do in your garden and i'll go nothing what is should i do but anyway i guess that's about it though it sounds like we've covered all the bases so i guess we'll let you go and um do you have anything else you wanted to say
sentence 2: I guess we've covered all the bases about my yard, I'll you go.",neutral
"sentence 1: yeah fifty nine cents yeah so you knows yeah it's it's something that you know we we go there every Sunday  me and my roommate go there every Sunday you know with our hangover
sentence 2: We go there three or five times on Saturdays.",contradiction
"sentence 1: Generalizing from Single Case Studies.
sentence 2: Drawing and broadening information from single case studies.",entailment
"sentence 1: 'A lot of people I went to law school with were fired up about public practice, but they had more debt than I did,' she said.
sentence 2: No one in law school even knew about public practice, she claimed. ",contradiction
"sentence 1: In the vicinity are two absorbing museums reflecting Kyoto's extensive history as a magnet for Japan's finest craftsmen.
sentence 2: Kyoto has attracted craftsmen since the 4th century.",neutral
"sentence 1: The charming antique train going between Palma and Seller  is bound to be popular with children of all ages.
sentence 2: The train journey between Palma and Seller is very picturesque.",neutral
"sentence 1: Perhaps you don't realize that I am still in the dark.
sentence 2: You must not know that I am in the dark.",entailment
"sentence 1: Francaise? he hazarded.
sentence 2: He guessed her name was Francaise.",entailment
"sentence 1: The moral guilt, Tuppence pointed out, ""would be theirs not mine.
sentence 2: Tuppence was feeling moral guilt.",neutral
"sentence 1: (My personal guess is that the hidden improvements are less important than they were in the 1950s and 1960 For example, direct-dial long-distance calling and television made more real difference to our lives than the Internet and DVD.)
sentence 2: I think that the hidden improvements are less important than they were in the 1950s and 1960.",entailment
"sentence 1: The staff can introduce you to 19 of the over 150 breeds of sheep.
sentence 2: The staff know a few of the breeds.",neutral
"sentence 1: To tell the truth, an idea, wild and extravagant in itself, had once or twice that morning flashed through my brain. 
sentence 2: That morning a wild idea had popped into my head.",entailment
"sentence 1: Nixon's Watergate sins (dismissed by the public on the eve of the election as, at most, the work of overzealous campaign aides) caught up with him in his second term.
sentence 2: Initially dismissed by the public, Nixon's Watergate scandal caught up with him during his second term and he suffered severe fallout with the public.",neutral
"sentence 1: country anymore we only have situation ethics i said yeah the guy robs the liquor store and yeah he shot the owner but he was under the influence of narcotics
sentence 2: Situation ethics are the only ones we have left.",entailment
"sentence 1: To build a foundation of control and accountability, senior government leaders in the Commonwealth of Virginia had clear goals and objectives that went beyond receiving an unqualified audit opinion.
sentence 2: The foundation had goals that didn't talk about audit opinions.",contradiction
"sentence 1: And here's whose fault it  mine.
sentence 2: It is my fault that the program lost funding.",neutral
"sentence 1: And if that means fighting occasionally with the Israeli lobby, as liberals like to fight occasionally with the Christian Coalition, that does not make you an evil person.
sentence 2: It's forbidden to fight the Israeli lobbyists on any issue.",contradiction
"sentence 1: Drive west along the D514 to Berniyres and Courseulles (where the Canadians staged their Juno Beach landings, marked by monuments on the beaches), and then the Canadians' cemetery 4 km (21.2 miles) to the south at Reviers.
sentence 2: Canadians landed at the beaches of Courseulles and monuments mark the spots.",entailment
"sentence 1: Don't miss the upstairs chapel for Benozzo Gozzoli's 15th-century fresco of the Journey of the Magi to Bethlehem.
sentence 2: A fresco depicting the Magi's journey to Bethlehem can be seen in the chapel upstairs.",entailment
"sentence 1: It's a ballot box, he says.
sentence 2: The box located over there is for collecting voter ballots. ",entailment
"sentence 1: Not all graduates will be able to scrounge for the years it may take to build a clientele, nor should they.
sentence 2: Most graduates take at least three years to build a clientele.",neutral
"sentence 1: Others say his characters just deliver long, boring speeches on esoterica.
sentence 2: His characters were known for being formal at dinner parties.",neutral
"sentence 1: for God's sake fall in some kind of trivial decency
sentence 2: Have some decency.",neutral
"sentence 1: Somehow, he knew I'd understand.
sentence 2: He was intelligent and knew me well. ",neutral
"sentence 1: uh uh-huh uh do you go more for natural keeping them off naturally or do you use insecticides
sentence 2: why aren't you doing anything about those bugs?",contradiction
"sentence 1: Understanding the controls relevant to compliance with those laws and regulations that the auditors have determined are significant can help auditors assess the risk of illegal acts.
sentence 2: The controls are not much help.",contradiction
"sentence 1: you use the sneaker net system
sentence 2: I am certain that you used the Sneaker Net System.",entailment
"sentence 1: Bean, who says that this season marked a return to mail-order normalcy . The anomaly, as the Times story sort of acknowledges, was the downturn year of 1995, when Lands' End overordered and was left holding the excess inventory.
sentence 2: Lands' End was forced to go bankrupt a year later.",neutral
"sentence 1: Coming soon
sentence 2: it may be coming soon.",neutral
"sentence 1: 'Is he still here?'  
sentence 2: I wonder if he's still around?",entailment
"sentence 1: I ”I ”may have done so.
sentence 2: It is possible I done that, but it was my only choice.",neutral
"sentence 1: The Edinburgh Crystal Factory has guided tours that show every aspect of the production of cut lead glassware.
sentence 2: The Edinburgh Crystal Factory does not allow visitors to go inside.",contradiction
"sentence 1: The paper was safe where it was; since no one had thought of looking there in the first week, it was not likely they would do so afterwards. 
sentence 2: The paper was unsafe in its location and was likely to be found soon after the first week. ",contradiction
"sentence 1: Your request is very typical.
sentence 2: The request made by you is very strange.",contradiction
"sentence 1: really yes well i had that that cat that i mentioned i'll be one morning and you know the first thing you do is you get up and you you you you you you feed this cat something something and and you make sure that it can get to its litterbox well
sentence 2: The first thing you do in the morning is feed the cat. ",entailment
"sentence 1: well that's what the environmentalists were claiming in this article so that
sentence 2: The environmentalists claimed that the earth would destroy itself within 20 million years. ",neutral
"sentence 1: In Figure 3, it is clear that as the discount level is increased, implying a passthrough of over 100%, the general welfare level increases, but at a declining rate.
sentence 2: The only thing Figure 3 shows is a stick figure holding a balloon. ",contradiction
"sentence 1: The final rule makes available 300 megahertz of spectrum at 5.15-5.
sentence 2: 300 megahertz of spectrum at 5.15-5 are available thanks to the final rule.",entailment
"sentence 1: I had been prepared all along to pony up the $19.
sentence 2: I knew I would have to pay the $19.",entailment
"sentence 1: I think I got all my gray hair in the two weeks after that, he said.
sentence 2: He said he lost all his hair in the weeks after that.",contradiction
"sentence 1: The humiliation...being stared blankly at by half a million faces... Well, chirped a little part of my brain.
sentence 2: I felt humiliated in front of the half a million people watching me.",entailment
"sentence 1: This is a very dreadful business, Monsieur Poirot, he said. 
sentence 2: This is a very terrible business, Monsieur Poirot, he said.",entailment
"sentence 1: Yes, she said quietly, ""that was not Evelyn Howard who spoke!"" She flung her head up proudly. 
sentence 2: She was not proud of her actions.",contradiction
"sentence 1: 'Poverty,' Greuze shrugged, 'is no excuse for a lack of imagination.
sentence 2: Greuze said poor people shouldn't bother imagining things.",contradiction
"sentence 1: 'Here!' White hollered.
sentence 2: White yelled so we could find him in the crowd.",neutral
"sentence 1: The cable network's animated show about third graders obsessed with violence and bodily emissions has replaced Beavis and Butt-head as America's premiere gross national product (Ken Tucker, Entertainment Weekly ). Critics attribute the show's cult following to the timeless power of bathroom humor and to its dark and clever plots, such as a thwarted assassination attempt on Kathie Lee Gifford.
sentence 2: The show appealed to people with a good sense of humor.",neutral
"sentence 1: Shh."" Her hands came up in complicated gestures.
sentence 2: She waved her hands around in complex gestures.",entailment
"sentence 1: Federal regulatory agencies have used both governmentwide and agencyspecific vehicles to notify the public about opportunities for public comment on upcoming rules.
sentence 2: Federal regulators tell the public about upcoming changes.",entailment
"sentence 1: going to be necessarily workable but it would be uh one way
sentence 2: It's the only way and it will definitely work.",contradiction
"sentence 1: I want to keep it safe.""He handed the paper to the gambler.
sentence 2: I want to keep it safe. He gave the paper to the woman. ",neutral
"sentence 1: No, sir, Monday, the 16th.
sentence 2: Yes, sir, it's on the 15th which is a Thursday.",contradiction
"sentence 1: Finally, the warring parties focused on New Orleans.
sentence 2: Many lives were lost, among both the fighters and the locals.",neutral
"sentence 1: These alliances have sweated blood in fights with Republican Mayor Richard Riordan over public transportation, housing, and health care.
sentence 2: The alliances have struggled against Richard Riordan over public services.",entailment
"sentence 1: you me too thank you okay thank you bye-bye
sentence 2: Thanks and good-bye.",entailment
"sentence 1: The hole would be empty.
sentence 2: The hole was full.",contradiction
"sentence 1: but uh i did you happen to see last night the special on channel two with James Galway
sentence 2: James Galway was on Channel two last night.",entailment
"sentence 1: Four haiku translated and only 16 more to go for my Japanese final.
sentence 2: I have to translate twenty haiku for my Japanese final. ",entailment
"sentence 1: The liveliest, most colorful time is during the autumn grape harvest, la vendemmia, but tasting and buying goes on at many of the Chianti vineyards all year round.
sentence 2: There is a very bad weather when it's grape harvest time.",contradiction
"sentence 1: possibly but that's that's uh one in a million shot if they have the talent to be in the NFL they're going to get drafted and make a pro team there aren't going to be too many people that that'll make uh the NFL out of uh WWALF
sentence 2: Considering all the chances to join the NFL a player has it is highly unlikely they'll be recruited from the WWALF into the NFL.",entailment
"sentence 1: Presented at the Sixth Conference on Postal and Delivery Economics The Center for Research in Regulated Industries at Rutgers University Montreux, Switzerland June 17-20, 1998
sentence 2: There was no conference at Rutgers University.",contradiction
"sentence 1: a 1395ww(d)(3)(E), requires that, as part of the methodology for determining hospital payments, the Secretary annually make adjustments for area differences in hospital wage levels by a factor reflecting the relative wage level for hospitals in a particular geographic area compared to a national average.
sentence 2: The wages of nearby hospitals has no influence on this hospital's wages.",contradiction
"sentence 1: 'Or...Abraham or...whatever...Are you actually going to be killing me or arresting me or something? Because if not, this conversation is beginning to get a little existentialist for my taste.'
sentence 2: There is no chance that Abraham could ever kill me. ",contradiction
"sentence 1: yeah yeah you can't stop them and once they're here to some extent we support them
sentence 2: They're nowhere near here since they're so easy to keep away.",contradiction
"sentence 1: The ultimate effect of any tax incentive on national saving would depend on how households in aggregate respond.
sentence 2: Tax incentives are large ",neutral
"sentence 1: Also what poor help we can give you now.
sentence 2: We can give you little help.",entailment
"sentence 1: A postal service that is below breakeven will be less attractive to cream skimmers than otherwise.
sentence 2: Cream skimmers will find a postal service below breakeven less attractive. ",entailment
"sentence 1: The concepts discussed build on our previous reports, which looked at the earlier phases of an acquisition, including matching customer needs and available resources.
sentence 2: Acquisition, customer needs and available resources were discussed to create the report.",entailment
"sentence 1: Osman Gazi was the founder of the House of Osman, the dynasty that ruled the Ottoman Empire for 600 years.
sentence 2: Osman Gazi was the most beloved ruler out of the 600 years of rule.",neutral
"sentence 1: The burden of the USO is much higher for Poste Italiane than for the U.S.
sentence 2: The burden of the USO is much lower for the U.S. than it is for Poste Italiane.",entailment
"sentence 1: While magic produced their food and made a better world for them, they hated it because they couldn't do it for themselves.
sentence 2: They had to use magic for others, but they themselves were the ones who needed it the most.",neutral
"sentence 1: But by phasing in rates, they may be able to have their cake and eat it, too-- smaller periodic increases and fewer cases to litigate.
sentence 2: Phasing in rates can result in large increases.",contradiction
"sentence 1: News column describes the attractions of cults, and compares the Heaven's Gate suicides to early Christian martyrs.
sentence 2: The column covers many cults, such as the Dark Divinities and Blood Augers. ",neutral
"sentence 1: Emissions reductions are required by the end of 2007.
sentence 2: Emission reductions are legally required by the end of 2007.",entailment
"sentence 1: According to the preambles to the proposed and final rules, the Commission reviewed its proposed information collection and, among other things, assessed the need for the information, how the information would be used, and the associated burden.
sentence 2: The Commission looked at books and websites and saw how they helped salespeople.",neutral
"sentence 1: In addition, for each principle, several key characteristics of organizations that successfully execute these principles are listed.
sentence 2: Organizations that have successfully executed these principles are listed.",entailment
"sentence 1: The prisoner is at the bar, gentlemen."" The German was seated once more behind the table.
sentence 2: The German was standing by the bar.",contradiction
"sentence 1: The house is an intriguing mixture of Baroque furniture and Roman antiquities, but the main attraction is the charming garden with its trellised arches and dramatic overhang with magical views overlooking the island and the bay.
sentence 2: The house contains a small orchard which is popular with tourists.",contradiction
"sentence 1: well you get what you pay for don't you
sentence 2: You get what you sing.",contradiction
"sentence 1: yes me too
sentence 2: no, not me",contradiction
"sentence 1: Morris' commission alone amounts to more than all the money Democrats have had to give back to suspicious contributors.
sentence 2: Democrats had to give money back to shady contributors.",entailment
"sentence 1:  Another thunder of falling sky sounded, and the ground heaved.
sentence 2: The sky was falling down.",entailment
"sentence 1: But you have probably heard something? 
sentence 2: Were you able to hear anything else?",neutral
"sentence 1: And you, madame! He bowed low over her hand.
sentence 2: He bent way down above her hand.",entailment
"sentence 1: The Oscars begat the Emmys, which begat the Cable Ace Awards, of which there are so many that any cable TV employee who actually attends the ceremony is entitled to leave in a snit if he or she doesn't win one.
sentence 2: The Oscars was the last awards show to be created",contradiction
"sentence 1: um yeah yeah i'm i'm pursuing what they what's what's called an interdisciplinary field i'm a speech therapy major and fortunately i have a lot of i have a good medical background and
sentence 2: I'm going to major in speech therapy in five years.",neutral
"sentence 1: Many of the activities GAO has undertaken are designed to ensure that the agency is properly positioned to fully support the Congress as it faces the future.
sentence 2: The GAO tries to fully support Congress.",entailment
"sentence 1: H-2A workers may be more attractive to employers for a number of reasons.
sentence 2: H-2A workers are not as beneficial as employers once believed.",contradiction
"sentence 1: It is time for people to realize that things like the law and accounting and reporting standards represent the floor of acceptable behavior and not the ceiling!
sentence 2: The floor of acceptable behavior is doing what your friends tell you to do.",neutral
"sentence 1: As you know, the Roman and the Ottoman empires suffered from grave internal weaknesses but persisted for centuries.
sentence 2: No one realizes that the Roman empire had serious internal weaknesses. ",contradiction
"sentence 1: An ambitious plan for a hexagonally based church, raised above the ground on stilts and with stained-glass windows by Pollock, came to nothing.
sentence 2: The complex plan of the church, came to nothing, but it's still an example for architects and designers.",neutral
"sentence 1: That's what we're after her for.
sentence 2: We're after her for something else.",contradiction
"sentence 1: However, for nearly everyone visiting Nepal, the Himalayas, whether experienced from the comfort of a hotel terrace, from the seat of plane, or from along the trail, are at the heart of a visit to Nepal.
sentence 2: For all tourists, the Himalayas are an afterthought when visiting Nepal.",contradiction
"sentence 1: The interior has been redecorated with fabrics and furniture dating from the late 1700s to Victorian times.
sentence 2: The interior is based on looks from the 1700s to Victorian times. ",neutral
"sentence 1: a life for a life
sentence 2: Two lives for two lives.",neutral
"sentence 1: Orrin Hatch has to acknowledge that Lee is well qualified for the post he seeks.
sentence 2: Lee would be wonderful at the job if accepted. ",neutral
"sentence 1: And the signs made it easier for visitors to find their way around.
sentence 2: There are signs pointing directions.",neutral
"sentence 1: that's all right sounds like you have a little one there oh you have great how old are they
sentence 2: How old are your dogs that you have there",neutral
"sentence 1: Starting with a cheap clothing store, and passing through one or two secondhand establishments, she had finished the day at a well-known hairdresser's.
sentence 2: After a long day of shopping she treated herself to some time in a well-known hairdresser's.",entailment
"sentence 1: DOD's policy lacks the criteria to measure design stability and process controls.
sentence 2: It's not important for the DOD's policy to include design stability and process control criteria as there are other methods to procure the information.",neutral
"sentence 1: You want them to hear us? he whispered indignantly.
sentence 2: He implied that another person should keep it down. ",entailment
"sentence 1: and they finished second that year i guess and it was Bobby Lane's first it was the year that Bobby Lane got traded to them two games into the season
sentence 2: They finished first that year, thanks to Bobby Lane.",contradiction
"sentence 1: I don't know if it was mercy or vengeance.
sentence 2: I wasn't sure if the killing was mercy or vengeance.",neutral
"sentence 1: If you tire of the easy life on the beachfront, take a trip west of La Baule around the wilder coast of the peninsula past Batz-sur-Mer (pronounced Bah) to the pretty little fishing port and resort of Le Croisic.
sentence 2: There is a little fishing port past Batz-sur-Mer.",entailment
"sentence 1: What is your egg going to hatch into? he asked.
sentence 2: He asked what was going to hatch out of the egg?",entailment
"sentence 1: uh reading about and and i suppose that there is uh justification for taking everybody if you take anybody
sentence 2: Only a few should be taken since there is no reasons for more to be taken.",contradiction
"sentence 1: they apparently they aren't like you know they don't smell as bad as other
sentence 2: It seems like they do not smell as bad.  ",entailment
"sentence 1: After the Civil War, high-minded liberal Republicans walked out on their partners, the sleazy Stalwarts.
sentence 2: The Republicans remained close to the Stalwarts following the war.",contradiction
"sentence 1: To her way of thinking no nonessential spending, no desire to possess things, can ever be innocent or morally neutral.
sentence 2: She considers nonessential spending to be evil because of her childhood.",neutral
"sentence 1: yeah all right well listen i got to go it's good talking to you
sentence 2: I don't like talking to you. ",contradiction
"sentence 1: Less work is done.
sentence 2: Little is finished.",entailment
"sentence 1: right but i wonder how much longer they're going to be a them
sentence 2: I already know exactly how long it will be.",contradiction
"sentence 1: These parameters were used to calibrate WTP for the visibility changes resulting from the Clear Skies Act.
sentence 2: These parameters were utilized to calibrate WTP for visibility changes via the Clear Skies Act.  ",entailment
"sentence 1: You can understand why DeLay keeps boasting of his tricks and strategies.
sentence 2: DeLay also boasts about his success.",neutral
"sentence 1: yeah those are nice we have one of those too uh-huh
sentence 2: We have a giant camper that we use.",neutral
"sentence 1: These are the seven swords.
sentence 2: These are the seven seas. ",contradiction
"sentence 1: And in '61 the Ranger's son, Anson Kirby, had jingled off in them to another war.
sentence 2: Anson was sent to serve in Vietnam.",neutral
"sentence 1: In 2002, our reviews resulted in LSC recommending modifications in several programs' legal work management and supervision systems.
sentence 2: The LSC didn't recommend any changes to the supervision systems of any of the programs.",contradiction
"sentence 1: For cave paintings, all accessible by guided tour only, the most attractive site is the Grotte de Font-de-Gaume, reached by an easy walk up on a cliff above the eastern edge of town.
sentence 2: Flash photography of the cave paintings is not allowed.",neutral
"sentence 1: However, whether Hindu or Buddhist, the people of Nepal live their religion on a daily basis and can be seen worshipping at shrines and temples throughout the day and night.
sentence 2: Whether Hindu or Buddhist, however, the people of Nepal live their religion on a daily basis and can be seen worshipping at shrines and temples throughout the day and night.",entailment
"sentence 1: Today it is a rather scruffy, workaday town, studiously ignoring its glorious past.
sentence 2: Today is rather awesome as most people recognize the glorious past.",contradiction
"sentence 1: Outside town, on the main Valencia highway, the Monasterio de Santa Verenica (Saint Veronica's Monastery) attracts about 15,000 pilgrims and a good many hawkers during the annual May celebration of the Santa Faz (Holy Face).
sentence 2: Monasterio de Santa Verenica was established in the ninth century.",neutral
"sentence 1: He was _holding_ them, and feeding them meat.""  
sentence 2: He was feeding them meat while holding them.",entailment
"sentence 1: But just when you start to get impatient with the plodding, one-thing-after-another style of narration, there's a shocker that blows you into the movie's last act, and then a scene in which a couple of former antagonists figure out what stinks and join forces in an abandoned motel to stave off an army of bad guys.
sentence 2: Throughout the movie, the main characters develop romantic feelings for one another.",neutral
"sentence 1: An enormous variety of makes and models are on sale.
sentence 2: A big amount of the different models are on sale.",entailment
"sentence 1: Having deduced its existence, I set Miss Howard to search for it, and, as you see, she has been successful.""
sentence 2: ""I sent Miss Howard to search for the document, and she has found it.""",neutral
"sentence 1: Computed by subtraction within the same size class.
sentence 2: Calculated through deduction within a similar size class.",entailment
"sentence 1: Will demurred when Larry King asked him about the commissioner's job last week, and he gave me spin when I  He still likes writing his column, he says, and it's presumptuous to talk about accepting something that has not been offered.
sentence 2: Larry King didn't mention the possibility of Will being given a new role.",contradiction
"sentence 1: But if you prefer good sandy beaches, head for the East Coast.
sentence 2: The best beaches are on the West coast.",contradiction
"sentence 1: It is arguably the best in Sicily, an invaluable one-stop crash course in understanding the Greek and other ancient cultures of the city and island.
sentence 2: It's one of the best in Sicily and offers an understand of Greek and other ancient cultures.",entailment
"sentence 1: Higher federal saving-to the extent that the increased government saving is not offset by reduced private saving-would increase national saving and tend to improve the nation's current account balance, although typically not on a dollar-for-dollar basis.
sentence 2: When there's more saving done on a federal level, the public are more confident if they don't end up saving.",neutral
"sentence 1: The dictator fell in 1929, and when the elections of 1931 revealed massive anti-royalist feeling in Spain's cities, the king followed him into exile.
sentence 2: There was huge support of the royals in Spain's rural areas.",neutral
"sentence 1: A short drive some 3 km (2 miles) south of the town center along Jalan Parameswara takes you to the heart of this little Eurasian community, peopled by descendants of the Portuguese colonists.
sentence 2: The Eurasian community no longer has any Portuguese descendants.",contradiction
"sentence 1: What contemporary travel needs to become truly convenient are updated versions of Homeric households.
sentence 2: The contemporary travel is already half comfortable.",neutral
"sentence 1: The railway builders admitted it might have been safer to dig some tunnels, but they preferred to go round the mountain to allow for a better view of the terraced tea gardens and the valleys plunging down to the Bengal plains.
sentence 2: The railway builders went around mountains to get better views.",entailment
"sentence 1: i i did too yeah i didn't think it was too long at all um he said after about the first hour he started looking at his watch
sentence 2: The man left after ten minutes.",contradiction
"sentence 1: oh you're from North Carolina where in North Carolina
sentence 2: Where in Wisconsin are you from? ",contradiction
"sentence 1: The jumping-off point for this popular vacation area is the town of Atami, about an hour from Tokyo on the shinkansen super-express train.
sentence 2: It takes four hours to reach Atami from Tokyo on the super-express train.",contradiction
"sentence 1: In the New Republic , James Wood calls Toni Morrison's Paradise trite and  It forces magic and pure rhapsodies on its characters like a demented anesthetist bullying patients with laughing gas.
sentence 2: Toni Morrison was a carpenter that never wrote a song or a book.",contradiction
"sentence 1: Half of the banks charge no fees whatsoever, simply satisfied to have these accounts as a significant growing source of inexpensive money to use almost interest-free.
sentence 2: All banks have fees.",contradiction
"sentence 1: both if we're not doing sports we go somewhere
sentence 2: We are not playing sports so we will go somewhere.",contradiction
"sentence 1: now he he is a good uh actually i did i played flute for almost ten years  and and uh so i i i i appreciate his too his his music he he he's from Ireland isn't he
sentence 2: I learned the flute in band.",neutral
"sentence 1: 8 billion budget deficit.
sentence 2: The budget is short by 8 billion dollars.",entailment
"sentence 1: that's right that ninety nine percent of ours is newspaper and uh you know uh glass
sentence 2: Most of our recyclables are plastic bottles. ",contradiction
